"TOA5","5964","CR1000","5964","CR1000.Std.32.05","CPU:cbFLX.CR1","33758","CambridgeFAST"
"TIMESTAMP","RECORD","U","V","W","Ts","DiagSAT","CO2","H2O","Tin","Tout","Press","CO22","H2O2"
"TS","RN","m/s","m/s","m/s","deg C","","mmolm-3","mmolm-3","deg C","deg C","kPa","mmolm-3","mmolm-3"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-05-13 21:18:02.2",2314607,-1.413,-5.20775,0.54575,-0.1582336,28,17.99811,49.6556,3.802057,3.215551,97.90007,19.13543,218.4405
"2023-05-13 21:18:02.25",2314608,-1.36,-5.4265,1.024,-0.1417236,29,17.98191,49.76144,3.811136,3.233725,97.90289,19.12722,223.9124
"2023-05-13 21:18:02.3",2314609,-1.51175,-5.54225,0.8247501,-0.1203003,30,17.97114,49.79037,3.815027,3.228532,97.90508,19.2011,224.8974
"2023-05-13 21:18:02.35",2314610,-0.83025,-4.83575,0.629,-0.1236267,31,17.96218,49.75023,3.804651,3.229831,97.88654,19.12722,222.1614
"2023-05-13 21:18:02.4",2314611,-1.771,-4.76325,0.8190001,-0.1714172,32,17.95841,49.6963,3.804651,3.224638,97.90166,19.11081,223.3653
"2023-05-13 21:18:02.45",2314612,-1.4035,-5.1175,0.71425,-0.05599976,33,17.9483,49.69057,3.812433,3.227234,97.89886,19.12722,224.8974
"2023-05-13 21:18:02.5",2314613,-1.267,-5.0865,0.6295,-0.09393311,34,17.9445,49.62267,3.811136,3.216849,97.89764,19.14364,225.554
"2023-05-13 21:18:02.55",2314614,-0.8940001,-5.10425,0.46625,-0.3098755,35,17.93744,49.6791,3.798166,3.225936,97.88836,19.13543,226.7579
"2023-05-13 21:18:02.6",2314615,-1.27375,-4.431,-0.2075,0.1221008,36,17.93373,49.71107,3.796869,3.235023,97.89764,19.11901,223.5841
"2023-05-13 21:18:02.65",2314616,-2.05125,-3.242,0.02025,-0.02798462,37,17.92617,49.73883,3.802057,3.237619,97.90325,19.13543,222.3803
"2023-05-13 21:18:02.7",2314617,-3.017,-4.863,-0.4655,0.1913452,38,17.9185,49.89658,3.822808,3.225936,97.8974,19.15185,222.3803
"2023-05-13 21:18:02.75",2314618,-1.0965,-4.73275,0.785,-0.2719727,39,17.91493,49.6695,3.807245,3.248004,97.88593,19.14364,223.9124
